Début des rapports,Fin des rapports,Nom de la campagne,Plateforme,Résultats,Indicateur de résultats,Couverture,Impressions,Répétition,CPM (Coût pour 1 000 impressions) (USD),Clics (tous),CTR (tous),CPC (tous) (USD),Interactions avec la publication,Commentaires sur la publication,Réactions à une publication,Partages de publications,J’aime sur Facebook,Coût par interaction avec la Page (USD),ThruPlays,Coût par ThruPlay (USD),Lectures de vidéo de 3 secondes,Coût par lecture de vidéo de 3 secondes (USD),Followers sur Instagram,Clics sur un lien,CPC (coût par clic sur un lien) (USD),Conversations par messages démarrées,Achats,Ajouts au panier,Ajouts d’informations de paiement,Paiements initiés,Prospects,Vues de contenu,ROAS (retour sur les dépenses publicitaires) des achats,Conversion rate,Coût par résultat,mois,annee
2023-03-23,2026-04-22,Batam - Février 2025 - SmartWatch-Buds - 100K clics,Instagram,44.0,actions:offsite_conversion.fb_pixel_purchase,212910,485902,2.282194,0.658779,3518,0.724014,0.09099,22364.0,,185.0,48.0,,0.014313,3916.0,0.081742,20129.0,0.015903,0,1935.0,0.165427,20.0,44.0,105.0,,61.0,,,2.917974,0.0,7.27504997,Février,2025
2023-03-23,2026-04-22,Batam - Février 2025 - Réfrigérateurs - 60K clics,Instagram,12.0,actions:offsite_conversion.fb_pixel_purchase,43492,87755,2.017727,0.663893,1399,1.594211,0.041644,2807.0,,62.0,26.0,,0.020755,403.0,0.144565,2090.0,0.027876,0,620.0,0.093968,7.0,12.0,50.0,,20.0,,,3.493827,0.0,4.8549908,Février,2025
2023-03-23,2026-04-22,Batam - Février 2025 - Lave Vaisselles - Carrousel,Instagram,4.0,actions:offsite_conversion.fb_pixel_purchase,11340,13495,1.190035,0.60642,168,1.244906,0.048712,1505.0,1.0,14.0,12.0,,0.005438,301.0,0.027188,1400.0,0.005845,0,74.0,0.11059,,4.0,10.0,,5.0,,,19.842044,0.0,2.04590818,Février,2025
2023-03-23,2026-04-22,Batam - Février 2025 - TV - Carrousel,Instagram,,,4473,5077,1.135032,0.50951,67,1.319677,0.038609,316.0,,3.0,4.0,,0.008186,57.0,0.045382,279.0,0.009272,0,28.0,0.092385,,,,,,,,,0.0,,Février,2025
2023-03-23,2026-04-22,Batam - Février 2025 - Four - Carrousel,Instagram,4.0,actions:offsite_conversion.fb_pixel_purchase,12158,13125,1.079536,0.530625,133,1.013333,0.052364,778.0,,10.0,10.0,,0.008952,199.0,0.034997,696.0,0.010006,0,53.0,0.131405,1.0,4.0,4.0,,4.0,,,13.208501,0.0,1.74111359,Février,2025
2023-03-23,2026-04-22,Batam - Février 2025 - Ramadan - 50K clics - collection,Instagram,,,639,732,1.14554,0.422116,19,2.595628,0.016263,7.0,,,,,0.044141,,,,,0,7.0,0.044141,,,,,,,,,0.0,,Février,2025
2023-03-23,2026-04-22,"Batam - Février 2025 - Ramadan (+159,15$)/4,5k$",Instagram,,,238103,737430,3.097105,0.544529,7815,1.059762,0.051382,,3.0,333.0,311.0,,,9131.0,0.043977,44031.0,0.00912,0,3480.0,0.115389,,,,,,,,,,,Février,2025
2023-03-23,2026-04-22,Batam - prix cassé - 50K clics - META - Novembre 2024,Facebook,163.0,actions:link_click,105403,129412,1.227783,0.019241,161,0.124409,0.015466,163.0,,,,,0.015276,,,,,0,163.0,0.015276,,,,,,,,,0.0,0.01527598,Novembre,2024
2023-03-23,2026-04-22,Batam EOY 2024 - Promo TV-  conversion solution optimisée,Facebook,2.0,actions:offsite_conversion.fb_pixel_purchase,152802,173399,1.134795,0.232298,71,0.040946,0.567327,66.0,,,,,0.610306,,,,,0,66.0,0.610306,,2.0,4.0,,3.0,,,0.01564,0.0,20.14011333,,2024
2023-03-23,2026-04-22,Batam - EOY Promo Chauffages - Conversion - 133 663 clics,Facebook,,,97549,105734,1.083907,0.19412,55,0.052017,0.373184,58.0,,,,,0.353881,1.0,20.52511,4.0,5.131277,0,54.0,0.380095,1.0,,8.0,,,,,,0.0,,,
